Service,Average Price (€),General Task
Poster Design,150,Collaterals
Brochure Design,400,Collaterals
Catalogue Design,800,Collaterals
Leaflet Design,100,Collaterals
Presentation Design,300,Collaterals
Whitepaper Creation,500,Collaterals
Infographic Design,250,Collaterals
Office Wall Design,1200,Office Design
Website Banner Design,250,Digital
Social Media Graphics,200,Digital
Translation (<5 pages),100,Translations
Translation (5–10 pages),180,Translations
Translation (10–20 pages),350,Translations
Translation (20–50 pages),800,Translations
Translation (>50 pages),1500,Translations
Website Event Registration Webpage,600,Digital
Event Registration Handling,400,Events
Webpage Link for Campaign,300,Digital
Video Production (<1 minute),800,Video Production
Video Production (>1 minute),1500,Video Production
Cost of One Lead Generated,50,Lead Generation
Specific PR Need,1000,Campaigns and PR
Market Research Report,2000,Market Research
Brand Guidelines Creation,1500,Collaterals
VR Experience (1-day),2000,VR
Event Support (on-site branding),1200,Events
Event Support (digital assets),800,Events
Webinar Setup & Promotion,1000,Events
Trade Show Booth Design,2500,Events
